Name,Personality,Species,Image
Chrissy,Peppy,Rabbit,"<img alt=""NH-Chrissy poster"" class="""" data-image-key=""NH-Chrissy_poster.png"" data-image-name=""NH-Chrissy poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/1f/NH-Chrissy_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185303"" width=""100""/>"
Claude,Lazy,Rabbit,"<img alt=""NH-Claude poster"" class="""" data-image-key=""NH-Claude_poster.png"" data-image-name=""NH-Claude poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/NH-Claude_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185347"" width=""100""/>"
Claudia,Snooty,Tiger,"<img alt=""NH-Claudia poster"" class="""" data-image-key=""NH-Claudia_poster.png"" data-image-name=""NH-Claudia poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b1/NH-Claudia_poster.png/revision/latest/scale-to-width-down/100?cb=20200410183623"" width=""100""/>"
Clay,Lazy,Hamster,"<img alt=""NH-Clay poster"" class="""" data-image-key=""NH-Clay_poster.png"" data-image-name=""NH-Clay poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/0a/NH-Clay_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050111"" width=""100""/>"
Cleo,Snooty,Horse,"<img alt=""NH-Cleo poster"" class="""" data-image-key=""NH-Cleo_poster.png"" data-image-name=""NH-Cleo poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5e/NH-Cleo_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050148"" width=""100""/>"
Clyde,Lazy,Horse,"<img alt=""NH-Clyde poster"" class="""" data-image-key=""NH-Clyde_poster.png"" data-image-name=""NH-Clyde poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/93/NH-Clyde_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050211"" width=""100""/>"
Coach,Jock,Bull,"<img alt=""NH-Coach poster"" class="""" data-image-key=""NH-Coach_poster.png"" data-image-name=""NH-Coach poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-Coach_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050254"" width=""100""/>"
Cobb,Jock,Pig,"<img alt=""NH-Cobb poster"" class="""" data-image-key=""NH-Cobb_poster.png"" data-image-name=""NH-Cobb poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6d/NH-Cobb_poster.png/revision/latest/scale-to-width-down/100?cb=20200410190041"" width=""100""/>"
Coco,Normal,Rabbit,"<img alt=""NH-Coco poster"" class="""" data-image-key=""NH-Coco_poster.png"" data-image-name=""NH-Coco poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/NH-Coco_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185633"" width=""100""/>"
Cole,Lazy,Rabbit,"<img alt=""NH-Cole poster"" class="""" data-image-key=""NH-Cole_poster.png"" data-image-name=""NH-Cole poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/NH-Cole_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185107"" width=""100""/>"
Colton,Smug,Horse,"<img alt=""NH-Colton poster"" class="""" data-image-key=""NH-Colton_poster.png"" data-image-name=""NH-Colton poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/NH-Colton_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050356"" width=""100""/>"
Cookie,Peppy,Dog,"<img alt=""NH-Cookie poster"" class="""" data-image-key=""NH-Cookie_poster.png"" data-image-name=""NH-Cookie poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/85/NH-Cookie_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050431"" width=""100""/>"
Cousteau,Jock,Frog,"<img alt=""NH-Cousteau poster"" class="""" data-image-key=""NH-Cousteau_poster.png"" data-image-name=""NH-Cousteau poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/41/NH-Cousteau_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050709"" width=""100""/>"
Cranston,Lazy,Ostrich,"<img alt=""NH-Cranston poster"" class="""" data-image-key=""NH-Cranston_poster.png"" data-image-name=""NH-Cranston poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/75/NH-Cranston_poster.png/revision/latest/scale-to-width-down/100?cb=20200410191717"" width=""100""/>"
Croque,Cranky,Frog,"<img alt=""NH-Croque poster"" class="""" data-image-key=""NH-Croque_poster.png"" data-image-name=""NH-Croque poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9a/NH-Croque_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050646"" width=""100""/>"
Cube,Lazy,Penguin,"<img alt=""NH-Cube poster"" class="""" data-image-key=""NH-Cube_poster.png"" data-image-name=""NH-Cube poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c6/NH-Cube_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050627"" width=""100""/>"
Curlos,Smug,Sheep,"<img alt=""NH-Curlos poster"" class="""" data-image-key=""NH-Curlos_poster.png"" data-image-name=""NH-Curlos poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/NH-Curlos_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184634"" width=""100""/>"
Curly,Jock,Pig,"<img alt=""NH-Curly poster"" class="""" data-image-key=""NH-Curly_poster.png"" data-image-name=""NH-Curly poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/14/NH-Curly_poster.png/revision/latest/scale-to-width-down/100?cb=20200410190319"" width=""100""/>"
Curt,Cranky,Bear,"<img alt=""NH-Curt poster"" class="""" data-image-key=""NH-Curt_poster.png"" data-image-name=""NH-Curt poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ef/NH-Curt_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050603"" width=""100""/>"
Cyd,Cranky,Elephant,"<img alt=""NH-Cyd poster"" class="""" data-image-key=""NH-Cyd_poster.png"" data-image-name=""NH-Cyd poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/9b/NH-Cyd_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050546"" width=""100""/>"
Cyrano,Cranky,Anteater,"<img alt=""NH-Cyrano poster"" class="""" data-image-key=""NH-Cyrano_poster.png"" data-image-name=""NH-Cyrano poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/NH-Cyrano_poster.png/revision/latest/scale-to-width-down/100?cb=20200522050528"" width=""100""/>"
Daisy,Normal,Dog,"<img alt=""NH-Daisy poster"" class="""" data-image-key=""NH-Daisy_poster.png"" data-image-name=""NH-Daisy poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a8/NH-Daisy_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052353"" width=""100""/>"
Deena,Normal,Duck,"<img alt=""NH-Deena poster"" class="""" data-image-key=""NH-Deena_poster.png"" data-image-name=""NH-Deena poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f5/NH-Deena_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052417"" width=""100""/>"
Deirdre,Sisterly,Deer,"<img alt=""NH-Deirdre poster"" class="""" data-image-key=""NH-Deirdre_poster.png"" data-image-name=""NH-Deirdre poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c0/NH-Deirdre_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052447"" width=""100""/>"
Del,Cranky,Alligator,"<img alt=""NH-Del poster"" class="""" data-image-key=""NH-Del_poster.png"" data-image-name=""NH-Del poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/c2/NH-Del_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052532"" width=""100""/>"
Deli,Lazy,Monkey,"<img alt=""NH-Deli poster"" class="""" data-image-key=""NH-Deli_poster.png"" data-image-name=""NH-Deli poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/03/NH-Deli_poster.png/revision/latest/scale-to-width-down/100?cb=20200410192638"" width=""100""/>"
Derwin,Lazy,Duck,"<img alt=""NH-Derwin poster"" class="""" data-image-key=""NH-Derwin_poster.png"" data-image-name=""NH-Derwin poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/95/NH-Derwin_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052553"" width=""100""/>"
Diana,Snooty,Deer,"<img alt=""NH-Diana poster"" class="""" data-image-key=""NH-Diana_poster.png"" data-image-name=""NH-Diana poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/10/NH-Diana_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052616"" width=""100""/>"
Diva,Sisterly,Frog,"<img alt=""NH-Diva poster"" class="""" data-image-key=""NH-Diva_poster.png"" data-image-name=""NH-Diva poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/NH-Diva_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052648"" width=""100""/>"
Dizzy,Lazy,Elephant,"<img alt=""NH-Dizzy poster"" class="""" data-image-key=""NH-Dizzy_poster.png"" data-image-name=""NH-Dizzy poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/NH-Dizzy_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052719"" width=""100""/>"
Dobie,Cranky,Wolf,"<img alt=""NH-Dobie poster"" class="""" data-image-key=""NH-Dobie_poster.png"" data-image-name=""NH-Dobie poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/90/NH-Dobie_poster.png/revision/latest/scale-to-width-down/100?cb=20200410183359"" width=""100""/>"
Doc,Lazy,Rabbit,"<img alt=""NH-Doc poster"" class="""" data-image-key=""NH-Doc_poster.png"" data-image-name=""NH-Doc poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Doc_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185403"" width=""100""/>"
Dom,Jock,Sheep,"<img alt=""NH-Dom poster"" class="""" data-image-key=""NH-Dom_poster.png"" data-image-name=""NH-Dom poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/NH-Dom_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184416"" width=""100""/>"
Dora,Normal,Mouse,"<img alt=""NH-Dora poster"" class="""" data-image-key=""NH-Dora_poster.png"" data-image-name=""NH-Dora poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/NH-Dora_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052746"" width=""100""/>"
Dotty,Peppy,Rabbit,"<img alt=""NH-Dotty poster"" class="""" data-image-key=""NH-Dotty_poster.png"" data-image-name=""NH-Dotty poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/NH-Dotty_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185658"" width=""100""/>"
Drago,Lazy,Alligator,"<img alt=""NH-Drago poster"" class="""" data-image-key=""NH-Drago_poster.png"" data-image-name=""NH-Drago poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/NH-Drago_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052808"" width=""100""/>"
Drake,Lazy,Duck,"<img alt=""NH-Drake poster"" class="""" data-image-key=""NH-Drake_poster.png"" data-image-name=""NH-Drake poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/NH-Drake_poster.png/revision/latest/scale-to-width-down/100?cb=20200522052837"" width=""100""/>"
Drift,Jock,Frog,"<img alt=""NH-Drift poster"" class="""" data-image-key=""NH-Drift_poster.png"" data-image-name=""NH-Drift poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/NH-Drift_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053217"" width=""100""/>"
Ed,Smug,Horse,"<img alt=""NH-Ed poster"" class="""" data-image-key=""NH-Ed_poster.png"" data-image-name=""NH-Ed poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/2/20/NH-Ed_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053254"" width=""100""/>"
Egbert,Lazy,Chicken,"<img alt=""NH-Egbert poster"" class="""" data-image-key=""NH-Egbert_poster.png"" data-image-name=""NH-Egbert poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d8/NH-Egbert_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053317"" width=""100""/>"
Elise,Snooty,Monkey,"<img alt=""NH-Elise poster"" class="""" data-image-key=""NH-Elise_poster.png"" data-image-name=""NH-Elise poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/NH-Elise_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053343"" width=""100""/>"
Ellie,Normal,Elephant,"<img alt=""NH-Ellie poster"" class="""" data-image-key=""NH-Ellie_poster.png"" data-image-name=""NH-Ellie poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/12/NH-Ellie_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053412"" width=""100""/>"
Elmer,Lazy,Horse,"<img alt=""NH-Elmer poster"" class="""" data-image-key=""NH-Elmer_poster.png"" data-image-name=""NH-Elmer poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a5/NH-Elmer_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053439"" width=""100""/>"
Eloise,Snooty,Elephant,"<img alt=""NH-Eloise poster"" class="""" data-image-key=""NH-Eloise_poster.png"" data-image-name=""NH-Eloise poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/d1/NH-Eloise_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053508"" width=""100""/>"
Elvis,Cranky,Lion,"<img alt=""NH-Elvis poster"" class="""" data-image-key=""NH-Elvis_poster.png"" data-image-name=""NH-Elvis poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/36/NH-Elvis_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053535"" width=""100""/>"
Erik,Lazy,Deer,"<img alt=""NH-Erik poster"" class="""" data-image-key=""NH-Erik_poster.png"" data-image-name=""NH-Erik poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/fc/NH-Erik_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053559"" width=""100""/>"
Eugene,Smug,Koala,"<img alt=""NH-Eugene poster"" class="""" data-image-key=""NH-Eugene_poster.png"" data-image-name=""NH-Eugene poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f7/NH-Eugene_poster.png/revision/latest/scale-to-width-down/100?cb=20200410192826"" width=""100""/>"
Eunice,Normal,Sheep,"<img alt=""NH-Eunice poster"" class="""" data-image-key=""NH-Eunice_poster.png"" data-image-name=""NH-Eunice poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a4/NH-Eunice_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184747"" width=""100""/>"
Fang,Cranky,Wolf,"<img alt=""NH-Fang poster"" class="""" data-image-key=""NH-Fang_poster.png"" data-image-name=""NH-Fang poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/77/NH-Fang_poster.png/revision/latest/scale-to-width-down/100?cb=20200410183143"" width=""100""/>"
Fauna,Normal,Deer,"<img alt=""NH-Fauna poster"" class="""" data-image-key=""NH-Fauna_poster.png"" data-image-name=""NH-Fauna poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/NH-Fauna_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053652"" width=""100""/>"
Felicity,Peppy,Cat,"<img alt=""NH-Felicity poster"" class="""" data-image-key=""NH-Felicity_poster.png"" data-image-name=""NH-Felicity poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/NH-Felicity_poster.png/revision/latest/scale-to-width-down/100?cb=20200410182504"" width=""100""/>"
Filbert,Lazy,Squirrel,"<img alt=""NH-Filbert poster"" class="""" data-image-key=""NH-Filbert_poster.png"" data-image-name=""NH-Filbert poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/3/3e/NH-Filbert_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184309"" width=""100""/>"
Flip,Jock,Monkey,"<img alt=""NH-Flip poster"" class="""" data-image-key=""NH-Flip_poster.png"" data-image-name=""NH-Flip poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/NH-Flip_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053720"" width=""100""/>"
Flo,Sisterly,Penguin,"<img alt=""NH-Flo poster"" class="""" data-image-key=""NH-Flo_poster.png"" data-image-name=""NH-Flo poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/NH-Flo_poster.png/revision/latest/scale-to-width-down/100?cb=20200410190352"" width=""100""/>"
Flora,Peppy,Ostrich,"<img alt=""NH-Flora poster"" class="""" data-image-key=""NH-Flora_poster.png"" data-image-name=""NH-Flora poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/NH-Flora_poster.png/revision/latest/scale-to-width-down/100?cb=20200410191616"" width=""100""/>"
Flurry,Normal,Hamster,"<img alt=""NH-Flurry poster"" class="""" data-image-key=""NH-Flurry_poster.png"" data-image-name=""NH-Flurry poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/NH-Flurry_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053750"" width=""100""/>"
Francine,Snooty,Rabbit,"<img alt=""NH-Francine poster"" class="""" data-image-key=""NH-Francine_poster.png"" data-image-name=""NH-Francine poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/NH-Francine_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185321"" width=""100""/>"
Frank,Cranky,Eagle,"<img alt=""NH-Frank poster"" class="""" data-image-key=""NH-Frank_poster.png"" data-image-name=""NH-Frank poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/NH-Frank_poster.png/revision/latest/scale-to-width-down/100?cb=20200410191050"" width=""100""/>"
Freckles,Peppy,Duck,"<img alt=""NH-Freckles poster"" class="""" data-image-key=""NH-Freckles_poster.png"" data-image-name=""NH-Freckles poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ea/NH-Freckles_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053826"" width=""100""/>"
Freya,Snooty,Wolf,"<img alt=""NH-Freya poster"" class="""" data-image-key=""NH-Freya_poster.png"" data-image-name=""NH-Freya poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/19/NH-Freya_poster.png/revision/latest/scale-to-width-down/100?cb=20200410183241"" width=""100""/>"
Friga,Snooty,Penguin,"<img alt=""NH-Friga poster"" class="""" data-image-key=""NH-Friga_poster.png"" data-image-name=""NH-Friga poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/75/NH-Friga_poster.png/revision/latest/scale-to-width-down/100?cb=20200410190835"" width=""100""/>"
Frita,Sisterly,Sheep,"<img alt=""NH-Frita poster"" class="""" data-image-key=""NH-Frita_poster.png"" data-image-name=""NH-Frita poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5e/NH-Frita_poster.png/revision/latest/scale-to-width-down/100?cb=20200410184508"" width=""100""/>"
Frobert,Jock,Frog,"<img alt=""NH-Frobert poster"" class="""" data-image-key=""NH-Frobert_poster.png"" data-image-name=""NH-Frobert poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/5a/NH-Frobert_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053855"" width=""100""/>"
Fuchsia,Sisterly,Deer,"<img alt=""NH-Fuchsia poster"" class="""" data-image-key=""NH-Fuchsia_poster.png"" data-image-name=""NH-Fuchsia poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/NH-Fuchsia_poster.png/revision/latest/scale-to-width-down/100?cb=20200522053932"" width=""100""/>"
Gabi,Peppy,Rabbit,"<img alt=""NH-Gabi poster"" class="""" data-image-key=""NH-Gabi_poster.png"" data-image-name=""NH-Gabi poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8b/NH-Gabi_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185547"" width=""100""/>"
Gala,Normal,Pig,"<img alt=""NH-Gala poster"" class="""" data-image-key=""NH-Gala_poster.png"" data-image-name=""NH-Gala poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/87/NH-Gala_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185906"" width=""100""/>"
Gaston,Cranky,Rabbit,"<img alt=""NH-Gaston poster"" class="""" data-image-key=""NH-Gaston_poster.png"" data-image-name=""NH-Gaston poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/NH-Gaston_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185604"" width=""100""/>"
Gayle,Normal,Alligator,"<img alt=""NH-Gayle poster"" class="""" data-image-key=""NH-Gayle_poster.png"" data-image-name=""NH-Gayle poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/ee/NH-Gayle_poster.png/revision/latest/scale-to-width-down/100?cb=20200522061322"" width=""100""/>"
Genji,Jock,Rabbit,"<img alt=""NH-Genji poster"" class="""" data-image-key=""NH-Genji_poster.png"" data-image-name=""NH-Genji poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/NH-Genji_poster.png/revision/latest/scale-to-width-down/100?cb=20200410185443"" width=""100""/>"
Gigi,Snooty,Frog,"<img alt=""NH-Gigi poster"" class="""" data-image-key=""NH-Gigi_poster.png"" data-image-name=""NH-Gigi poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/NH-Gigi_poster.png/revision/latest/scale-to-width-down/100?cb=20200522061648"" width=""100""/>"
Gladys,Normal,Ostrich,"<img alt=""NH-Gladys poster"" class="""" data-image-key=""NH-Gladys_poster.png"" data-image-name=""NH-Gladys poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/6/65/NH-Gladys_poster.png/revision/latest/scale-to-width-down/100?cb=20200410191858"" width=""100""/>"
Gloria,Snooty,Duck,"<img alt=""NH-Gloria poster"" class="""" data-image-key=""NH-Gloria_poster.png"" data-image-name=""NH-Gloria poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/4d/NH-Gloria_poster.png/revision/latest/scale-to-width-down/100?cb=20200522061718"" width=""100""/>"
Goldie,Normal,Dog,"<img alt=""NH-Goldie poster"" class="""" data-image-key=""NH-Goldie_poster.png"" data-image-name=""NH-Goldie poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/e6/NH-Goldie_poster.png/revision/latest/scale-to-width-down/100?cb=20200522061740"" width=""100""/>"
Gonzo,Cranky,Koala,"<img alt=""NH-Gonzo poster"" class="""" data-image-key=""NH-Gonzo_poster.png"" data-image-name=""NH-Gonzo poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/d/de/NH-Gonzo_poster.png/revision/latest/scale-to-width-down/100?cb=20200522061802"" width=""100""/>"
Goose,Jock,Chicken,"<img alt=""NH-Goose poster"" class="""" data-image-key=""NH-Goose_poster.png"" data-image-name=""NH-Goose poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/NH-Goose_poster.png/revision/latest/scale-to-width-down/100?cb=20200522063919"" width=""100""/>"
Graham,Smug,Hamster,"<img alt=""NH-Graham poster"" class="""" data-image-key=""NH-Graham_poster.png"" data-image-name=""NH-Graham poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/NH-Graham_poster.png/revision/latest/scale-to-width-down/100?cb=20200522061907"" width=""100""/>"
Greta,Snooty,Mouse,"<img alt=""NH-Greta poster"" class="""" data-image-key=""NH-Greta_poster.png"" data-image-name=""NH-Greta poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/1/1c/NH-Greta_poster.png/revision/latest/scale-to-width-down/100?cb=20200410192204"" width=""100""/>"
Grizzly,Cranky,Bear,"<img alt=""NH-Grizzly poster"" class="""" data-image-key=""NH-Grizzly_poster.png"" data-image-name=""NH-Grizzly poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/9/96/NH-Grizzly_poster.png/revision/latest/scale-to-width-down/100?cb=20200522061950"" width=""100""/>"
Groucho,Cranky,Bear,"<img alt=""NH-Groucho poster"" class="""" data-image-key=""NH-Groucho_poster.png"" data-image-name=""NH-Groucho poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/f/f7/NH-Groucho_poster.png/revision/latest/scale-to-width-down/100?cb=20200522062020"" width=""100""/>"
Gruff,Cranky,Goat,"<img alt=""NH-Gruff poster"" class="""" data-image-key=""NH-Gruff_poster.png"" data-image-name=""NH-Gruff poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/NH-Gruff_poster.png/revision/latest/scale-to-width-down/100?cb=20200522063653"" width=""100""/>"
Gwen,Snooty,Penguin,"<img alt=""NH-Gwen poster"" class="""" data-image-key=""NH-Gwen_poster.png"" data-image-name=""NH-Gwen poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/NH-Gwen_poster.png/revision/latest/scale-to-width-down/100?cb=20200410190543"" width=""100""/>"
Hamlet,Jock,Hamster,"<img alt=""NH-Hamlet poster"" class="""" data-image-key=""NH-Hamlet_poster.png"" data-image-name=""NH-Hamlet poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/NH-Hamlet_poster.png/revision/latest/scale-to-width-down/100?cb=20200522062149"" width=""100""/>"
Hamphrey,Cranky,Hamster,"<img alt=""NH-Hamphrey poster"" class="""" data-image-key=""NH-Hamphrey_poster.png"" data-image-name=""NH-Hamphrey poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/NH-Hamphrey_poster.png/revision/latest/scale-to-width-down/100?cb=20200522062214"" width=""100""/>"
Hans,Smug,Gorilla,"<img alt=""NH-Hans poster"" class="""" data-image-key=""NH-Hans_poster.png"" data-image-name=""NH-Hans poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/NH-Hans_poster.png/revision/latest/scale-to-width-down/100?cb=20200522062237"" width=""100""/>"
Harry,Cranky,Hippo,"<img alt=""NH-Harry poster"" class="""" data-image-key=""NH-Harry_poster.png"" data-image-name=""NH-Harry poster.png"" height=""100"" src=""https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/NH-Harry_poster.png/revision/latest/scale-to-width-down/100?cb=20200522062306"" width=""100""/>"
